Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.7%,-41.8%,-8.8%,5.4%,6.9%,5.87%,3.32%,7.3%,3.3%,5.9%,9.6%,13.2%,14.%,10.5%,13.9%,13.2%,13.7%,6.9%,-14.1%,2.2%,4.7%,7.2%,3.3%,3.6%,3.2%,.2%,7.5%,5.2%,7.6%,-7.2%,5.8%,12.6%,8.3%
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.97%,.41%,-.41%,-4.1%,1.85%,-2.66%,-4.17%,.3%,.%,-4.33%,-2.5%,1.76%,3.15%,-1.68%,-6.99%,2.67%,-.49%,4.41%,-.78%,1.74%,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,4.38%,8.08%,8.16%,3.82%,-.08%,5.36%,10.17%,7.64%,11.49%,6.63%,5.21%,5.25%,3.01%,2.18%,1.16%,5.28%,6.68%,-4.36%,6.6%,5.47%,4.73%,3.71%,6.2%,-4.55%,1.03%,6.08%,5.77%,6.47%,12.71%,9.32%,-.01%,-11.96%,-7.84%,-1.96%,3.37%,-.6%,2.21%,1.45%,4.1%,2.46%,6.95%,3.1%,-18.88%,8.19%,9.52%,3.86%
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.48%,1.29%,6.22%,6.98%,5.98%,2.38%,6.3%,5.09%,7.05%,7.18%,4.%,3.91%,2.62%,4.11%,1.34%,2.59%,3.6%,.89%,4.05%,3.04%,3.34%,3.33%,-2.22%,4.59%,5.28%,3.97%,2.56%,5.76%,3.87%,3.58%,-.38%,.43%,4.05%,3.98%,3.89%,3.86%,3.91%,4.66%,5.03%,3.92%,2.03%,3.98%,3.09%,4.22%,3.15%,2.76%,3.77%,3.59%,1.89%,2.22%,2.41%,3.92%,2.6%,2.6%,2.19%,2.76%,2.28%,2.88%,2.17%,-.12%,2.11%,4.24%,3.44%
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.54%,2.65%,4.14%,6.12%,3.48%,5.64%,3.01%,4.47%,6.28%,7.12%,5.11%,6.21%,4.89%,3.94%,-.36%,4.58%,5.08%,-.21%,5.36%,1.73%,-.14%,2.01%,2.97%,.05%,2.5%,2.3%,1.36%,3.3%,3.89%,4.35%,3.44%,2.09%,.53%,2.4%,2.67%,2.22%,2.15%,3.49%,3.76%,3.19%,1.32%,1.48%,1.14%,2.57%,2.32%,3.27%,3.78%,1.45%,-3.59%,1.81%,2.93%,.63%,-.25%,.76%,1.3%,2.12%,2.27%,2.48%,1.75%,-6.32%,4.8%,5.28%,-.95%
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.7%,-22.6%,-23.1%,-19.7%,-11.8%,1.3%,5.8%,10.%,7.4%,11.1%,9.9%,9.44%,10.21%,9.25%,27.96%,34.5%,25.%,10.76%,9.3%,5.05%,.1%,2.17%,5.81%,2.75%,1.09%,-3.1%,.2%,1.5%,2.5%,-4.3%,5.62%,4.71%,1.12%
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.75%,9.06%,4.14%,6.27%,3.97%,4.61%,13.82%,-.3%,-1.46%,21.33%,2.75%,-6.4%,6.89%,-.73%,.7%,7.94%,11.47%,-.94%,1.66%,.99%,12.16%,-1.05%,3.72%,.16%,11.78%,3.25%,5.5%,5.03%,1.35%,3.5%,5.%,1.01%,-6.24%,-3.83%,-7.92%,-8.%,-1.59%,4.75%,-1.01%,-.86%,2.06%,4.45%,-1.22%,4.83%,.9%,5.41%,3.45%,4.86%,3.81%,5.12%,4.03%,4.45%,4.92%,4.24%,-3.9%,-.6%,.5%,1.61%,1.81%,.33%,3.1%,1.85%,2.7%
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.98%,5.21%,4.35%,6.96%,3.56%,3.16%,3.87%,4.19%,6.63%,6.35%,3.99%,5.3%,6.38%,4.57%,-1.97%,5.65%,.63%,2.84%,2.34%,4.44%,-.28%,.59%,.31%,2.47%,1.65%,1.82%,2.31%,4.72%,3.47%,3.14%,1.83%,1.53%,-.96%,3.23%,2.38%,1.32%,3.79%,1.96%,3.54%,3.72%,1.1%,1.71%,1.04%,3.57%,2.32%,2.55%,3.68%,.45%,-1.91%,2.71%,1.93%,.22%,.31%,1.77%,1.47%,1.19%,1.47%,1.88%,2.44%,-4.79%,6.2%,4.23%,1.25%
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.14%,-3.43%,4.73%,6.65%,5.29%,3.58%,1.08%,3.84%,2.88%,2.1%,-1.5%,6.43%,3.71%,3.34%,-4.9%,.88%,4.98%,1.26%,6.54%,6.78%,9.95%,2.24%,-4.35%,7.93%,7.53%,2.17%,-1.5%,3.41%,-2.85%,8.98%,4.23%,2.96%,5.84%,2.02%,6.05%,4.32%,5.73%,3.96%,5.34%,5.86%,5.33%,4.64%,3.44%,4.43%,1.71%,3.94%,5.99%,4.9%,2.32%,2.11%,2.96%,4.81%,7.19%,6.36%,1.78%,3.34%,5.67%,6.7%,6.87%,3.85%,7.16%,6.25%,6.35%
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.04%,6.13%,-1.27%,2.28%,3.76%,.54%,8.82%,3.07%,2.03%,.12%,1.41%,2.31%,.45%,8.29%,3.%,8.53%,.37%,4.61%,3.66%,.8%,4.26%,9.56%,.35%,-1.78%,8.52%,7.96%,-.24%,5.8%,2.15%,-.6%,9.07%,.23%,3.46%,1.32%,5.72%,11.01%,6.32%,7.31%,7.4%,1.89%,6.61%,4.35%,7.8%,4.48%,8.66%,6.25%,4.11%,5.8%,2.96%,8.45%,6.62%,6.45%,5.79%,4.33%,3.92%,5.96%,6.2%,6.6%,5.89%,2.01%,6.94%,1.5%,2.96%
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.06%,5.45%,-.46%,10.95%,1.61%,2.57%,-1.88%,9.49%,1.22%,5.62%,-5.48%,-13.97%,3.33%,9.59%,-4.09%,5.66%,2.67%,7.07%,4.8%,.82%,7.23%,2.13%,3.88%,4.8%,3.34%,4.17%,3.77%,2.42%,2.84%,5.62%,3.49%,5.44%,4.71%,3.89%,5.12%,4.52%,4.49%,5.18%,4.67%,5.29%,5.08%,3.83%,4.74%,5.24%,6.54%,6.67%,7.06%,6.01%,5.05%,5.57%,6.46%,6.52%,6.01%,6.06%,6.55%,7.11%,6.59%,7.32%,7.88%,3.45%,6.94%,7.1%,5.78%
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.9%,2.33%,3.43%,3.4%,2.68%,4.21%,6.05%,10.94%,-3.29%,-9.12%,-8.45%,-7.27%,-1.48%,1.82%,2.86%,5.21%,-14.12%,3.79%,-8.4%,4.59%,3.82%,5.87%,5.24%,6.51%,7.06%,6.8%,6.65%,6.13%,-3.35%,1.56%,2.09%,.75%,-.54%,.95%,3.4%,3.03%,2.75%,2.55%,3.79%,-3.22%,7.78%,4.04%,1.89%
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,1.61%,11.07%,13.92%,8.47%,-8.83%,30.48%,13.02%,3.86%,3.47%,2.58%,-5.32%,-7.56%,6.38%,5.%,-4.76%,1.18%,10.4%,7.%,.36%,4.44%,11.23%,6.69%,12.87%,-.25%,3.93%,4.11%,3.09%,4.79%,4.3%,5.3%,2.49%,3.35%,6.3%,6.98%,6.77%,6.47%,8.29%,6.25%,2.54%,4.33%,1.93%,3.8%,5.29%,4.31%,2.51%,3.81%,4.95%,2.05%,2.05%,-5.91%,4.35%,5.98%,2.98%
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.67%,10.45%,10.52%,10.5%,10.43%,9.07%,9.6%,8.42%,8.98%,-5.65%,1.63%,-3.5%,7.57%,-16.75%,-14.8%,5.19%,9.15%,14.18%,26.14%,6.5%,-9.23%,6.7%,3.6%,14.17%,4.83%,1.8%,2.98%,2.31%,6.73%,-1.6%,-4.18%,-3.83%,.31%,3.15%,4.38%,4.22%,1.29%,4.72%,7.14%,4.15%,2.63%,2.7%,-1.26%,.88%,3.4%,2.52%,1.45%,-2.32%,-4.18%,1.54%,.61%,3.%,-2.86%,1.85%,1.%,-.96%,2.8%,2.63%,-1.36%,-21.42%,15.4%,10.78%,2.64%
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.35%,-6.44%,-2.18%,11.13%,15.97%,54.2%,36.64%,16.62%,9.52%,5.41%,2.42%,5.03%,3.87%,6.33%,3.9%,5.41%,5.86%,5.44%,-3.%,.87%,.96%,-.82%,2.35%,1.15%,4.31%,3.24%,3.24%,3.83%,2.89%,-3.02%,7.39%,4.23%,2.21%
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2%,-9.6%,-7.6%,-11.7%,-10.4%,2.8%,11.4%,8.4%,3.4%,5.8%,4.73%,5.05%,7.04%,11.45%,9.4%,10.%,8.6%,10.2%,.2%,7.75%,5.55%,1.71%,1.%,1.65%,-3.83%,-2.53%,2.53%,3.15%,1.45%,-.67%,2.44%,-4.66%,3.89%
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.89%,4.89%,4.96%,5.%,4.93%,4.77%,4.91%,7.37%,5.11%,4.81%,3.96%,10.22%,5.35%,13.56%,3.59%,-.03%,6.5%,7.92%,7.52%,12.11%,1.13%,-.11%,-2.15%,1.98%,1.01%,4.55%,10.73%,9.79%,13.01%,11.45%,11.78%,12.73%,6.14%,-.02%,.73%,1.11%,4.24%,3.89%,9.42%,12.24%,4.99%,5.4%,9.67%,4.78%,2.22%,4.51%,3.35%,-1.68%,-.39%,1.11%,-.24%,3.74%,4.45%,4.03%,2.88%,.05%,-1.81%,1.11%,4.27%,-13.9%,17.75%,9.65%,1.15%
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.68%,4.47%,1.07%,11.11%,4.76%,14.36%,13.28%,2.11%,3.44%,6.31%,3.44%,1.81%,1.48%,.88%,3.77%,8.94%,5.9%,1.45%,2.15%,7.94%,2.38%,-5.29%,2.01%,.48%,-2.%,6.67%,3.75%,4.06%,.44%,.02%,-3.53%,-.06%,3.01%,.6%,4.4%,2.6%,4.6%,3.9%,3.38%,9.32%,7.22%,-1.48%,3.41%,2.32%,1.67%,5.54%,3.35%,-1.87%,-5.63%,-2.5%,-3.74%,-5.31%,-.28%,-3.7%,.78%,-.66%,3.61%,-.43%,.31%,-6.84%,5.42%,6.43%,-.09%
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.09%,5.58%,6.8%,3.96%,4.91%,7.17%,6.32%,8.53%,4.47%,5.23%,5.06%,7.97%,5.74%,2.94%,7.31%,4.61%,4.97%,2.05%,.13%,-1.37%,.28%,-3.94%,-4.04%,-.2%,-1.68%,-2.57%,2.46%,2.91%,3.79%,4.64%,5.27%,1.65%,4.27%,4.67%,4.68%,4.36%,4.95%,5.03%,.43%,2.51%,1.68%,2.49%,2.71%,4.17%,4.42%,4.8%,4.56%,6.15%,3.36%,4.13%,5.2%,5.12%,6.8%,5.46%,4.86%,4.26%,4.2%,4.22%,2.22%,-8.74%,6.11%,3.61%,3.08%
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.6%,6.6%,.6%,3.4%,2.4%,6.7%,4.2%,9.8%,9.5%,10.4%,11.34%,11.94%,13.97%,8.15%,5.17%,10.26%,4.93%,4.97%,6.76%,9.2%,-4.25%,.83%,-2.93%,5.4%,7.85%,7.49%,3.53%,-.06%,3.16%,-4.35%,1.03%,-.54%,4.92%,5.85%,4.22%,2.21%,3.39%,.34%,.47%,4.39%,1.39%,3.05%,1.14%,5.76%,3.2%,3.96%,6.07%,5.09%,-.13%,7.53%,3.97%,1.92%,3.%,.5%,-3.55%,-3.28%,1.32%,1.78%,1.22%,-3.28%,4.76%,3.02%,2.91%
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.7%,9.06%,-5.08%,5.%,11.43%,4.%,10.64%,6.92%,7.52%,9.51%,3.91%,1.27%,1.34%,-4.65%,-1.9%,4.36%,3.64%,4.88%,7.89%,4.37%,-1.9%,-4.9%,.5%,3.6%,1.1%,5.1%,2.59%,3.51%,3.6%,-3.31%,-3.9%,-5.69%,.79%,2.01%,2.01%,3.98%,4.74%,3.73%,.33%,4.45%,-2.37%,.79%,2.18%,1.41%,3.96%,6.07%,2.08%,.63%,-5.02%,-2.22%,-.73%,-.31%,-1.01%,.08%,-.85%,1.79%,.13%,-1.17%,.65%,-15.05%,-.25%,17.83%,4.09%
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,-.65%,20.87%,9.93%,7.02%,24.34%,-9.71%,-22.38%,2.3%,.4%,-2.38%,-2.91%,-5.41%,2.08%,-1.54%,-2.73%,2.64%,2.91%,-3.12%,-.63%,.99%,1.35%,-.03%,6.34%,-6.66%,4.26%,3.47%,1.47%,3.96%,3.58%,.1%,.%,4.1%,-3.76%,-3.9%,-1.9%,2.74%,3.74%,.91%,-2.12%,-2.51%,-.39%,-2.48%,1.33%,.05%,3.87%,1.13%,-1.59%,-1.63%,1.41%
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,2.68%,1.16%,1.47%,5.16%,-3.31%,8.95%,7.9%,7.13%,4.79%,5.01%,15.12%,3.44%,10.43%,4.56%,4.03%,11.39%,29.05%,4.77%,7.36%,10.38%,-.41%,4.6%,1.99%,4.95%,7.07%,5.57%,5.37%,5.91%,7.98%,3.36%,7.33%,10.44%,7.79%,5.16%,6.94%,5.64%,16.1%,4.53%,7.67%,11.93%,8.49%,5.16%,1.74%,5.88%,6.66%,8.48%,2.09%,3.5%,5.76%,-10.22%,4.42%,5.21%,
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.34%,6.67%,5.92%,6.83%,5.81%,6.34%,5.92%,10.57%,15.12%,17.12%,25.82%,26.36%,21.3%,8.8%,8.45%,10.65%,12.01%,14.33%,12.15%,11.99%,9.06%,12.17%,13.15%,8.55%,7.13%,8.17%,11.88%,19.45%,13.06%,6.77%,7.46%,2.92%,1.92%,3.63%,7.03%,5.83%,8.33%,.44%,9.67%,1.99%,.25%,6.07%,4.63%,2.71%,4.56%,8.36%,5.79%,3.25%,-14.14%,10.12%,6.84%,-.17%,11.1%,5.69%,-4.85%,7.2%,4.11%,4.19%,3.03%,-8.73%,11.92%,5.49%,2.73%
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.95%,-3.71%,-.71%,2.08%,.95%,.64%,4.68%,1.4%,7.09%,2.33%,1.13%,.%,1.89%,6.34%,.4%,5.43%,3.81%,1.21%,-2.47%,-4.48%,-1.54%,7.72%,-8.13%,9.48%,3.93%,3.58%,-4.94%,1.71%,1.98%,-2.15%,-.55%,-6.42%,.34%,4.9%,7.2%,-4.%,5.3%,4.7%,3.6%,-2.49%,4.46%,3.62%,-5.4%,5.99%,.91%,4.77%,4.61%,2.05%,8.59%,4.63%,4.19%,5.05%,-36.39%,.08%,4.34%,4.75%,4.53%,3.79%,3.1%,.9%,.98%,.5%,.87%
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.16%,7.43%,5.3%,6.66%,6.32%,6.76%,3.07%,5.01%,5.07%,2.92%,4.02%,5.52%,6.73%,3.36%,1.55%,5.89%,3.53%,3.74%,3.73%,2.18%,3.42%,-3.17%,2.56%,5.9%,4.74%,2.12%,4.07%,4.41%,2.34%,.2%,-2.09%,.89%,2.66%,4.49%,2.68%,1.69%,4.28%,3.89%,5.14%,5.14%,1.88%,3.%,1.81%,3.09%,3.21%,2.64%,2.05%,1.%,-2.92%,3.09%,3.14%,1.76%,2.33%,2.87%,.65%,1.04%,3.03%,2.74%,1.91%,-5.04%,5.29%,3.82%,1.25%
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.87%,-4.94%,.21%,3.69%,5.71%,4.49%,2.25%,2.64%,1.9%,3.95%,3.01%,3.54%,4.01%,5.88%,4.91%,6.64%,6.33%,3.96%,-3.61%,1.54%,3.6%,.85%,.65%,3.25%,4.01%,2.78%,5.12%,5.04%,4.01%,-3.33%,6.53%,4.07%,.64%
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.11%,4.79%,4.88%,5.26%,2.1%,2.46%,3.06%,3.59%,5.63%,6.38%,4.08%,3.2%,3.05%,1.45%,-7.28%,-1.4%,2.43%,.41%,2.49%,4.6%,1.6%,-1.31%,.64%,3.01%,3.67%,1.86%,1.59%,3.28%,4.33%,3.67%,-.92%,-.04%,-.13%,1.27%,.48%,.47%,2.26%,3.03%,1.66%,3.96%,1.58%,-.07%,-.03%,2.7%,2.75%,4.07%,3.92%,2.81%,-2.3%,3.24%,1.81%,1.18%,1.79%,2.35%,1.64%,2.07%,1.36%,2.86%,1.14%,-2.14%,5.39%,2.57%,.72%
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.61%,1.13%,-5.75%,.49%,2.43%,.37%,1.21%,1.81%,1.12%,1.57%,-8.9%,9.94%,5.34%,3.72%
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.25%,4.03%,5.84%,2.56%,.95%,11.24%,3.62%,3.59%,3.94%,1.83%,9.42%,-1.02%,-5.03%,2.38%,-12.91%,3.83%,10.44%,7.7%,8.42%,7.99%,6.53%,-11.01%,-5.02%,4.1%,4.01%,5.38%,6.46%,7.35%,9.92%,3.33%,7.8%,11.17%,6.59%,5.03%,8.93%,6.8%,7.39%,4.18%,-.27%,4.97%,3.15%,3.2%,4.72%,6.67%,5.84%,6.05%,5.17%,3.79%,-1.12%,5.85%,6.22%,6.16%,3.31%,1.79%,2.15%,1.75%,1.36%,3.99%,.63%,-6.14%,11.33%,2.06%,.22%
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-27.27%,-5.58%,10.3%,18.18%,16.95%,10.65%,-5.77%,-4.1%,16.94%,19.3%,7.06%,3.81%,7.76%,2.31%,8.72%,-1.57%,7.57%,11.33%,7.59%,7.83%,5.11%,9.02%,10.77%,15.19%,13.43%,8.95%,11.66%,11.22%,4.21%,3.92%,9.26%,14.22%,13.88%,13.04%,10.95%,9.92%,9.24%,7.85%,7.66%,8.49%,8.34%,9.13%,10.04%,10.11%,11.39%,12.72%,14.23%,9.65%,9.4%,10.64%,9.55%,7.86%,7.77%,7.43%,7.04%,6.85%,6.95%,6.75%,5.95%,2.24%,8.45%,2.95%,5.25%
